,ParasiteCheckedBinomial,Par.Phylum,Par.Class,a.host.infect.site,b.host.infect.site,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,juv.lenth.min.um,juv.length.max.um,juv.width.min.um,juv.width.max.um,infect.larvae.min.um,infect.larvae.max.um,egg.size.min,egg.size.max,Ref,doi.y,alyssa.notes
114,Cooperia pectinata,Nematoda,Chromadorea,small intestine,abomasum,NA,NA,NA,NA,7,7,NA,NA,7.5,9,NA,NA,NA,NA,NA,NA,NA,NA,65,87,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
115,Cooperia pigachei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
116,Cooperia punctata,Nematoda,Chromadorea,small intestine,abomasum,NA,NA,NA,NA,4.7,8.1,NA,NA,5.7,7.5,NA,NA,NA,NA,NA,NA,NA,NA,67,85,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
117,Cooperia rotundispiculum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
118,Cooperia verrucosa,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
119,Cooperia yoshidai,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
120,Cooperia zurnabada,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
121,Cooperioides antidorca,Nematoda,Chromadorea,small intestine,,6.2,7.9,NA,NA,6.2,7,NA,NA,7.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
122,Cooperioides hamiltoni,Nematoda,Chromadorea,small intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,648,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
123,Cooperioides hepaticae,Nematoda,Chromadorea,small intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546,685,NA,NA,562,675,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
124,Cordophilus sagittus,Nematoda,Chromadorea,heart,,57,122,700,1200,57,85,700,730,75,122,850,1200,245,330,7.5,7.5,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
125,Corynosoma australe,Acanthocephala,Palaeacanthocephala,intestine,,3,4,1300,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,85,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1978,NA,
126,Corynosoma enhydri,Acanthocephala,Palaeacanthocephala,intestine,,12,20,2000,2250,12,16,2000,2120,19,20,2210,2250,NA,NA,NA,NA,NA,NA,99,125,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1978,NA,
127,Corynosoma hadweni,Acanthocephala,Palaeacanthocephala,intestine,,6,8.25,1400,2500,6,8.25,1430,1430,6,8.25,1400,2500,NA,NA,NA,NA,NA,NA,93,115,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1979,NA,
128,Corynosoma magdaleni,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
129,Corynosoma reductum,Acanthocephala,Palaeacanthocephala,intestine,,6.12,10,2370,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1978,NA,
130,Corynosoma semerme,Acanthocephala,Palaeacanthocephala,intestine,large intestine,3,5,700,1000,3,5,700,1000,3,5,700,1000,NA,NA,NA,NA,NA,NA,79,101,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1979,NA,
131,Corynosoma strumosum,Acanthocephala,Palaeacanthocephala,intestine,,5,9,NA,NA,5,9,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,79,200,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1980,NA,
135,Corynosoma validum,Acanthocephala,Palaeacanthocephala,intestine,,3.5,5.4,1800,3200,3.9,5.4,1900,2700,3.5,4.6,1800,3200,NA,NA,NA,NA,NA,NA,90,116,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1984,NA,
136,Corynosoma villosum,Acanthocephala,Palaeacanthocephala,intestine,,3.5,8.4,1360,1850,3.5,6.35,1360,1600,6.4,8.4,1780,1850,NA,NA,NA,NA,NA,NA,98,140,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1984,NA,
137,Cotylophoron indicum,Platyhelminthes,Trematoda,digestive tract,,4.3,5.5,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
138,Cotylophoron jacksoni,Platyhelminthes,Trematoda,digestive tract,,9.8,9.8,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,125,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
139,Crenosoma goblei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
140,Crenosoma melesi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
141,Crenosoma petrowi,Nematoda,Chromadorea,bronchi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,283,NA,NA,555,567,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
142,Crenosoma taiga,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
143,Crenosoma vulpis,Nematoda,Chromadorea,bronchi,,3.5,16,280,480,3.5,8,280,320,12,16,300,480,246,308,NA,NA,458,549,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
144,Crenosoma zederi,Nematoda,Chromadorea,bronchi,,6,26,NA,NA,6,9,NA,NA,18,26,NA,NA,NA,NA,NA,NA,NA,NA,72,72,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym from C. mephitidis
145,Crossocephalus viviparus,Nematoda,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
146,Cruzia americana,Nematoda,Chromadorea,Caecum,large intestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
147,Cryptocotyle jejunum,Platyhelminthes,Trematoda,intestine,,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,36,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
148,Cryptocotyle lingua,Platyhelminthes,Trematoda,intestine,,0.528,1.89,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,50,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
149,Cyathospirura chevreuxi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
150,Cyathostomum catinatum,Nematoda,Chromadorea,large intestine,,5,12,NA,NA,5,9,NA,NA,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
151,Cyathostomum labratum,Nematoda,Chromadorea,cecum,,6.5,9.5,NA,NA,6.5,8,NA,NA,7.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
152,Cyathostomum montgomeryi,Nematoda,Chromadorea,cecum,colon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
153,Cyathostomum tetracanthum,Nematoda,Chromadorea,cecum,colon,7,12,NA,NA,7,9,NA,NA,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
154,Cylicocyclus auriculatus,Nematoda,Chromadorea,cecum,,15,26,NA,NA,15,17,NA,NA,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
155,Cylicocyclus gyalocephaloides,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
156,Cylicocyclus insigne,Nematoda,Chromadorea,cecum,colon,11,15,NA,NA,11,12,NA,NA,13.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
157,Cylicocyclus nassatus,Nematoda,Chromadorea,cecum,colon,7,14,NA,NA,7,10,NA,NA,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
158,Cylicodontophorus reineckei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
159,Cylicospirura felineus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
160,Cylicospirura petrowi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
161,Cylicospirura subaequalis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
162,Cylicostephanus calicatus,Nematoda,Chromadorea,cecum,colon,5.5,8,NA,NA,5.5,6.5,NA,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
163,Cylicostephanus longiconus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
164,Cylicostephanus minutus,Nematoda,Chromadorea,cecum,colon,4,6,NA,NA,4,6,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
165,Cystocaulus ocreatus,Nematoda,Chromadorea,alveoli,bronchi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,480,NA,NA,750,790,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
166,Daubneya oldi,Nematoda,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
167,Diceronema versterae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
168,Dicrocoelium dendriticum,Platyhelminthes,Trematoda,biles ducts,gall bladder,6,10,1.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,50,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
169,Dictyocaulus capreolus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
170,Dictyocaulus eckerti,Nematoda,Chromadorea,bronchi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,synonym with D. viviparus
171,Dictyocaulus filaria,Nematoda,Chromadorea,bronchioles,,NA,NA,NA,NA,25,80,NA,NA,43,112,NA,NA,500,540,25,25,NA,NA,112,135,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
172,Dictyocaulus noerneri,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
173,Dictyocaulus viviparus,Nematoda,Chromadorea,trachea,bronchi,17,80,500,500,17,50,500,500,23,80,NA,NA,310,360,16,19,NA,NA,82,88,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
174,Didelphonema longispiculata,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
175,Dioctophyma renale,Nematoda,Enoplea,kidney,,140,1000,5,12,140,450,NA,NA,200,1000,5,12,NA,NA,NA,NA,NA,NA,60,80,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
176,Dipetalonema llewellyni,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
177,Dipetalonema mephitis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
178,Dipetalonema procyonis,Nematoda,Chromadorea,subcutaneous connective tissue,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
179,Dipetalonema spirocauda,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
180,Diphyllobothrium cordatum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
181,Diphyllobothrium dendriticum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
182,Diphyllobothrium ditremum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
183,Diphyllobothrium fayi,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
184,Diphyllobothrium lanceolatum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
185,Diphyllobothrium latum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
186,Diphyllobothrium medium,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
187,Diphyllobothrium pacificum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
188,Diphyllobothrium tetrapterus,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
189,Diplopylidium monoophorum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
190,Diplopylidium noelleri,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
191,Dipylidium caninum,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
192,Dirofilaria immitis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
193,Dirofilaria lutrae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
194,Dirofilaria repens,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
195,Dirofilaria striata,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
196,Dirofilaria tenuis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
197,Dirofilaria ursi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
198,Dracunculus insignis,Nematoda,Chromadorea,subcutaneous tissue,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,857,NA,NA,595,703,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
199,Draschia megastoma,Nematoda,Chromadorea,stomach,intestine,7,13,NA,NA,7,10,NA,NA,10,13,NA,NA,NA,NA,NA,NA,NA,NA,330,350,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
200,Echinochasmus perfoliatus,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
201,Echinococcus granulosus,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
202,Echinococcus multilocularis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
203,Echinococcus oligarthrus,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
204,Echinococcus shiquicus,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
205,Echinococcus sibiricensis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
206,Echinoparyphium recurvatum,Platyhelminthes,Trematoda,gastrointestinal,,1.9,7.3,0.4,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,111,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
207,Echinorhynchus gadi,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
208,Echinostoma cinetorchis,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
209,Echinostoma hortense,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
210,Elaeophora elaphi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
211,Elaeophora sagitta,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
212,Elaeophora schneideri,Nematoda,Chromadorea,aorta,,55,120,400,890,55,85,400,685,60,120,560,890,350,400,NA,NA,3.29,5.03,47,47,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.  AND R.C. Anderson,NA,
213,Elaphostrongylus alces,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
214,Elaphostrongylus cervi,Nematoda,Chromadorea,subcutaneous connective tissues,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,396,NA,NA,910,1110,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.  AND R.C. Anderson,NA,
215,Elaphostrongylus rangiferi,Nematoda,Chromadorea,meninges,muscles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,403,NA,NA,933,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.  AND R.C. Anderson,NA,
216,Eucoleus aerophilus,Nematoda,Enoplea,trachea,bronchi,15,40,60,180,15,25,60,100,20,40,100,180,NA,NA,NA,NA,NA,NA,58,79,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym Capillaria aerophila
217,Eucoleus boehemi,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
218,Eucoleus schvalovoj,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
219,Eucyathostomum webbi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
220,Euparyphium beaveri,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
221,Euparyphium inermo,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
222,Euparyphium melis,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
223,Euryhelmis costaricensis,Platyhelminthes,Trematoda,intestine,,1.074,1.281,0.716,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
224,Euryhelmis pacifica,Platyhelminthes,Trematoda,intestine,,0.66,1.04,0.34,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
225,Euryhelmis squamula,Platyhelminthes,Trematoda,intestine,,0.6,1,1.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,34,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
226,Eurytrema procyonis,Platyhelminthes,Trematoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,also pancreataic duct and intestine
227,Fasciola gigantica,Platyhelminthes,Trematoda,biliary system,,18,51,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,150,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
228,Fasciola hepatica,Platyhelminthes,Trematoda,biliary system,,25,76,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,197,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
229,Fascioloides magna,Platyhelminthes,Trematoda,liver,lung,30,100,14,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,168,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,G. magnus
230,Fibricola cartera,Platyhelminthes,Trematoda,intestine,,0.51,1.89,0.41,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,120,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,F. crater
231,Fibricola texensis,Platyhelminthes,Trematoda,intestine,,0.53,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,117,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
232,Filaria martis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
233,Filaria taxideae,Nematoda,Chromadorea,skin lesions,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
234,Filaroides bronchialis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
235,Filaroides gymnurus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
236,Filaroides hispidus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
237,Filaroides krascheninnikovi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
